,ID,Auteur,Naissance (min),Naissance (max),Mort (min),Mort (max),Témoin,Partie,Chapitre,Section,size
23,arist,Apulée (0125?-0180?),-0384-01-01,-0384-01-01,-0322-01-01,-0322-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",TITRE DE JURISDICTION.,XXXVIII.,1
24,aristophane,Aristophane (0445?-0386? av. J.-C.),-0445-01-01,-0445-01-01,-0386-01-01,-0386-01-01,basnage,coutume,DES TESTAMENS.,CCCCXIX.,1
25,aristote,Apulée (0125?-0180?),-0384-01-01,-0384-01-01,-0322-01-01,-0322-01-01,basnage,coutume,DE BREF DE MARIAGE ENCOMBRÉ.,"CCCCCXXXVIII. Contrats d ’ alienation du bien de la femme, quand sont vallables.",1
26,aristote,Apulée (0125?-0180?),-0384-01-01,-0384-01-01,-0322-01-01,-0322-01-01,basnage,coutume,DE SUCCESSIONS EN PROPRE,CCXXXV. Temps et acte de l ’ adition d ’ heredité.,2
27,aristote,Apulée (0125?-0180?),-0384-01-01,-0384-01-01,-0322-01-01,-0322-01-01,basnage,coutume,DES DONATIONS.,"CCCCXXXI. Quelles personnes peuvent donner entre vifs, quoy, et à qui.",1
28,aristote,Apulée (0125?-0180?),-0384-01-01,-0384-01-01,-0322-01-01,-0322-01-01,basnage,coutume,DES FIEFS ET DROITS FEODAUX,CXLIX.,1
29,aristote,Apulée (0125?-0180?),-0384-01-01,-0384-01-01,-0322-01-01,-0322-01-01,basnage,coutume,DES TESTAMENS.,introduction,1
30,aristote,Apulée (0125?-0180?),-0384-01-01,-0384-01-01,-0322-01-01,-0322-01-01,basnage,coutume,DU DOUAIRE.,CCCCVIII. Remplacement du propre quand est reputé conquests.,1
31,aristote,Apulée (0125?-0180?),-0384-01-01,-0384-01-01,-0322-01-01,-0322-01-01,basnage,coutume,DU DOUAIRE.,CCCLXIX. Femme quand a doüaire sur les biens du pere et ayeul de son mary.,4
32,aristote,Apulée (0125?-0180?),-0384-01-01,-0384-01-01,-0322-01-01,-0322-01-01,basnage,coutume,DU DOUAIRE.,CCCLXXXIX. Femme n ’ a communauté avec le mary.,1
33,aristote,Apulée (0125?-0180?),-0384-01-01,-0384-01-01,-0322-01-01,-0322-01-01,basnage,coutume,TITRE DE JURISDICTION.,III.,1
34,aristote,Apulée (0125?-0180?),-0384-01-01,-0384-01-01,-0322-01-01,-0322-01-01,terrien,"LIVRE ONZIEME, QVI EST, D ’ APPELLATIONS ET DOleances en matieres ciuiles, à sortir deuant les Iuges suiets à la Cour.",Aucun titre.,François premier 1540.,2
35,aristote,Apulée (0125?-0180?),-0384-01-01,-0384-01-01,-0322-01-01,-0322-01-01,terrien,"LIVRE PREMIER QVI EST, DE LA IVSTICE ET DV droict des Normans.",De Droict et de Iustice. Chap. I.,La Coustume au chapitre De Justice.,4
36,aristote,Apulée (0125?-0180?),-0384-01-01,-0384-01-01,-0322-01-01,-0322-01-01,terrien,"LIVRE SECOND. QVI EST, DV DROICT ET Estat des personnes.",Des Marchans. Chap. X.,"Charles ix-tenant ses Estats à Orléans, l ’ an 1560.",2
37,artemidore,Artémidore d'Éphèse (01..-01..?),0100-01-01,0199-01-01,0100-01-01,0199-01-01,basnage,coutume,TITRE DE JURISDICTION.,XIII.,1
38,augustin,Augustin (0354-0430 ; saint),0354-01-01,0354-01-01,0430-01-01,0430-01-01,basnage,coutume,DE BREF DE MARIAGE ENCOMBRÉ.,CCCCCXLI. Cas auquel elle ne peut avoir recompense.,1
39,augustin,Augustin (0354-0430 ; saint),0354-01-01,0354-01-01,0430-01-01,0430-01-01,basnage,coutume,DE PARTAGE D ’ HERITAGE.,CCCLVII. Action des soeurs pour leur mariage contre leurs freres,1
40,augustin,Augustin (0354-0430 ; saint),0354-01-01,0354-01-01,0430-01-01,0430-01-01,basnage,coutume,DE SUCCESSIONS EN PROPRE,CCXXXV. Temps et acte de l ’ adition d ’ heredité.,9
41,augustin,Augustin (0354-0430 ; saint),0354-01-01,0354-01-01,0430-01-01,0430-01-01,basnage,coutume,DES FIEFS ET DROITS FEODAUX,CXLII. Que peut demander celuy qui a fait don de son bien à l ’ Eglise.,1
42,augustin,Augustin (0354-0430 ; saint),0354-01-01,0354-01-01,0430-01-01,0430-01-01,basnage,coutume,DES FIEFS ET DROITS FEODAUX,introduction,1
43,augustin,Augustin (0354-0430 ; saint),0354-01-01,0354-01-01,0430-01-01,0430-01-01,basnage,coutume,DU DOUAIRE.,CCCXCI. Meubles de la femme separée de biens à qui appartienent.,1
44,augustin,Augustin (0354-0430 ; saint),0354-01-01,0354-01-01,0430-01-01,0430-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",CHAPITRE DES FIEFS ET DROITS FEODAVX.,CLI.,1
45,augustin,Augustin (0354-0430 ; saint),0354-01-01,0354-01-01,0430-01-01,0430-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",DE SERVITVDES.,VI. C. XXI.,1
46,augustin,Augustin (0354-0430 ; saint),0354-01-01,0354-01-01,0430-01-01,0430-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",DE SVCCESSION EN PROPRE ET ANCIEN PATRIMOINE TANT EN ligne directe que collaterale.,CCXLIX.,1
47,augustin,Augustin (0354-0430 ; saint),0354-01-01,0354-01-01,0430-01-01,0430-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",DE TESTAMENS.,CCCCXXII.,1
48,augustin,Augustin (0354-0430 ; saint),0354-01-01,0354-01-01,0430-01-01,0430-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",DES SVCCESSIONS EN PROPRE AV BAILLIAGE DE CAVX ET AUTRES LIEVX OV LADITE COVTVME S ’ ESTEND EN LA VICOMTÉ DE ROVEN.,introduction,1
49,augustin,Augustin (0354-0430 ; saint),0354-01-01,0354-01-01,0430-01-01,0430-01-01,terrien,"LIVRE DOVZIEME, QVI EST, DES CRIMES ET PROcez criminels.","D ’ inquisition d ’ office de Iustice, ce du deuoir des Iuges. Chap. XXXI.",Au chapitre De forfaitures.,1
50,augustin,Augustin (0354-0430 ; saint),0354-01-01,0354-01-01,0430-01-01,0430-01-01,terrien,"LIVRE DOVZIEME, QVI EST, DES CRIMES ET PROcez criminels.","Des pronostiqueurs, cs diuinateurs, es oAegyptiens. Chap. X.",Charles ix-tenant ses Estats à Orléans 1560.,1
51,augustin,Augustin (0354-0430 ; saint),0354-01-01,0354-01-01,0430-01-01,0430-01-01,terrien,"LIVRE PREMIER QVI EST, DE LA IVSTICE ET DV droict des Normans.",De Droict et de Iustice. Chap. I.,La Coustume au premier chapitre.,2
52,augustin,Augustin (0354-0430 ; saint),0354-01-01,0354-01-01,0430-01-01,0430-01-01,terrien,"LIVRE QVATRIEME. QVI EST DES DROICTS ET DEMAIne du Roy, et de la chose publique.",De faire et entretenir des puys an eau. Chap. XIIII.,François au Bailly de C. 1540.,1
53,aulus,Aulu-Gelle (0123?-0180?),0123-01-01,0123-01-01,0180-01-01,0180-01-01,basnage,coutume,DE SUCCESSIONS EN PROPRE,CCXXXV. Temps et acte de l ’ adition d ’ heredité.,2
54,aulus,Aulu-Gelle (0123?-0180?),0123-01-01,0123-01-01,0180-01-01,0180-01-01,basnage,coutume,DES FIEFS ET DROITS FEODAUX,CCX. Nouvelle construction de pescherie et moulin.,1
55,aulus,Aulu-Gelle (0123?-0180?),0123-01-01,0123-01-01,0180-01-01,0180-01-01,basnage,coutume,DU DOUAIRE.,CCCXCI. Meubles de la femme separée de biens à qui appartienent.,1
56,aulus,Aulu-Gelle (0123?-0180?),0123-01-01,0123-01-01,0180-01-01,0180-01-01,basnage,coutume,DU DOUAIRE.,CCCXCV. Biens paraphernaux.,2
57,aulus,Aulu-Gelle (0123?-0180?),0123-01-01,0123-01-01,0180-01-01,0180-01-01,berault,<front>,AVANT-PROPOS AU LECTEUR,,1
58,aulus,Aulu-Gelle (0123?-0180?),0123-01-01,0123-01-01,0180-01-01,0180-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",CHAPITRE DES FIEFS ET DROITS FEODAVX.,CXXVI.,1
59,aulus,Aulu-Gelle (0123?-0180?),0123-01-01,0123-01-01,0180-01-01,0180-01-01,terrien,"LIVRE DOVZIEME, QVI EST, DES CRIMES ET PROcez criminels.",De larcin. Chap. XX.,La Coustume au chapitre De Justice.,2
60,aulus,Aulu-Gelle (0123?-0180?),0123-01-01,0123-01-01,0180-01-01,0180-01-01,terrien,"LIVRE DOVZIEME, QVI EST, DES CRIMES ET PROcez criminels.","De simple querelle personnel, qui se fait pour bateries co mal-façons de corps. Chap. : XXVI.",La Coustume.,1
61,basile,Basile de Césarée (0329?-0379 ; saint),0329-01-01,0329-01-01,0379-01-01,0379-01-01,basnage,coutume,DE PRESCRIPTIONS.,introduction,1
62,basile,Basile de Césarée (0329?-0379 ; saint),0329-01-01,0329-01-01,0379-01-01,0379-01-01,basnage,coutume,DE SUCCESSIONS EN PROPRE,CCXXXV. Temps et acte de l ’ adition d ’ heredité.,3
63,caesar,"César, Jules (0100-0044 av. J.-C.)",-0100-01-01,-0100-01-01,-0044-01-01,-0044-01-01,basnage,coutume,DES FIEFS ET DROITS FEODAUX,CCXI. Tresor trouvé à qui appartient.,1
64,caesar,"César, Jules (0100-0044 av. J.-C.)",-0100-01-01,-0100-01-01,-0044-01-01,-0044-01-01,basnage,coutume,DES FIEFS ET DROITS FEODAUX,CXLII. Que peut demander celuy qui a fait don de son bien à l ’ Eglise.,1
65,caesar,"César, Jules (0100-0044 av. J.-C.)",-0100-01-01,-0100-01-01,-0044-01-01,-0044-01-01,basnage,coutume,DES SUCCESSIONS COLLATERALES AUX MEUBLES ET ACQUESTS.,CCCXXIX. Quelle part la femme aprés la mort du mary prend aux conquests.,1
66,caesar,"César, Jules (0100-0044 av. J.-C.)",-0100-01-01,-0100-01-01,-0044-01-01,-0044-01-01,basnage,coutume,TITRE DE JURISDICTION.,XIII.,1
67,caesar,"César, Jules (0100-0044 av. J.-C.)",-0100-01-01,-0100-01-01,-0044-01-01,-0044-01-01,basnage,coutume,TITRE DE JURISDICTION.,XXXI.,1
68,caesar,"César, Jules (0100-0044 av. J.-C.)",-0100-01-01,-0100-01-01,-0044-01-01,-0044-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",CHAPITRE DE GARDES.,CCXXX.,1
69,caesar,"César, Jules (0100-0044 av. J.-C.)",-0100-01-01,-0100-01-01,-0044-01-01,-0044-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.","DE DOVAIRE DE FEMMES, ET VEVFVAGE. des maris.",introduction,1
70,caesar,"César, Jules (0100-0044 av. J.-C.)",-0100-01-01,-0100-01-01,-0044-01-01,-0044-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",DES SVCCESSIONS EN PROPRE AV BAILLIAGE DE CAVX ET AUTRES LIEVX OV LADITE COVTVME S ’ ESTEND EN LA VICOMTÉ DE ROVEN.,CCLXXXV.,1
71,caesar,"César, Jules (0100-0044 av. J.-C.)",-0100-01-01,-0100-01-01,-0044-01-01,-0044-01-01,pesnelle,COUTUME DE NORMANDIE.,CHAPITRE VINGT-DEUXIEME. DES EXECUTIONS PAR DÉCRET.,introduction,1
72,caesar,"César, Jules (0100-0044 av. J.-C.)",-0100-01-01,-0100-01-01,-0044-01-01,-0044-01-01,terrien,"LIVRE NEVFIEME, QVI EST, DE L ’ ORDRE ET STYLE de proceder és Cours inferieures. Et premièrement és matieres ciuiles, et en première instance.","Des parties litigantes, cs de ceux qui ne sont personnes legitimes. d ’ eter en iugement. Chap. V",La coustume au chapitre De tesmoins.,1
73,caesar,"César, Jules (0100-0044 av. J.-C.)",-0100-01-01,-0100-01-01,-0044-01-01,-0044-01-01,terrien,LIVRE TROISIESME QVI EST DES MAGISTRATS ET officiers ordinaires de la Iustice.,Du Roy duc de Normandie. Chap. 1.,La Coustume au chapitre du Duc.,1
74,cassiod,Cassiodore (0490?-0580?),0490-01-01,0490-01-01,0580-01-01,0580-01-01,basnage,coutume,DE SUCCESSIONS EN PROPRE,CCXXXV. Temps et acte de l ’ adition d ’ heredité.,1
75,cassiod,Cassiodore (0490?-0580?),0490-01-01,0490-01-01,0580-01-01,0580-01-01,basnage,coutume,DU DOUAIRE.,CCCLXXVII.,1
76,cassiod,Cassiodore (0490?-0580?),0490-01-01,0490-01-01,0580-01-01,0580-01-01,berault,<front>,AVANT-PROPOS AU LECTEUR,,1
77,cassiod,Cassiodore (0490?-0580?),0490-01-01,0490-01-01,0580-01-01,0580-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",CHAPITRE DE GARDES.,CCXXIII.,1
78,cassiod,Cassiodore (0490?-0580?),0490-01-01,0490-01-01,0580-01-01,0580-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",CHAPITRE DES FIEFS ET DROITS FEODAVX.,CCXL.,1
79,cassiod,Cassiodore (0490?-0580?),0490-01-01,0490-01-01,0580-01-01,0580-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",CHAPITRE DES FIEFS ET DROITS FEODAVX.,CXXV.,1
80,cassiod,Cassiodore (0490?-0580?),0490-01-01,0490-01-01,0580-01-01,0580-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",DES EXECVTIONS PAR DECRET.,V. C. XLVII.,1
81,cassiod,Cassiodore (0490?-0580?),0490-01-01,0490-01-01,0580-01-01,0580-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",TITRE DE JURISDICTION.,XXIIII.,1
82,cassiod,Cassiodore (0490?-0580?),0490-01-01,0490-01-01,0580-01-01,0580-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",TITRE DE JURISDICTION.,XXVII.,1
83,cassiod,Cassiodore (0490?-0580?),0490-01-01,0490-01-01,0580-01-01,0580-01-01,pesnelle,COUTUME DE NORMANDIE.,CHAPITRE NEUVIEME. DES FIEFS ET DROITS FEODAUX.,CCXII.,1
84,cassius,,0155-01-01,0155-01-01,0235-01-01,0235-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",CHAPITRE DES FIEFS ET DROITS FEODAVX.,CLV.,1
85,cassius,,0155-01-01,0155-01-01,0235-01-01,0235-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",CHAPITRE DES FIEFS ET DROITS FEODAVX.,CXV.,1
86,cassius,,0155-01-01,0155-01-01,0235-01-01,0235-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",CHAPITRE DES FIEFS ET DROITS FEODAVX.,CXVI.,1
87,cassius,,0155-01-01,0155-01-01,0235-01-01,0235-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",TITRE DE JURISDICTION.,XXXVI.,1
88,caton,"Cato, Valerius (0090-0001 av. J.C.)",-0090-01-01,-0090-01-01,-0001-01-01,-0001-01-01,basnage,coutume,DU DOUAIRE.,CCCXCV. Biens paraphernaux.,2
89,caton,"Cato, Valerius (0090-0001 av. J.C.)",-0090-01-01,-0090-01-01,-0001-01-01,-0001-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",DE SVCCESSION EN PROPRE ET ANCIEN PATRIMOINE TANT EN ligne directe que collaterale.,CCXLIX.,1
90,catulle,Catulle (0087?-0052? av. J.-C.),-0087-01-01,-0087-01-01,-0052-01-01,-0052-01-01,basnage,coutume,DU DOUAIRE.,CCCLXIX. Femme quand a doüaire sur les biens du pere et ayeul de son mary.,1
91,catulle,Catulle (0087?-0052? av. J.-C.),-0087-01-01,-0087-01-01,-0052-01-01,-0052-01-01,basnage,coutume,DU DOUAIRE.,CCCLXXXVII.,1
92,celse,,0100-01-01,0199-01-01,0100-01-01,0199-01-01,basnage,coutume,DE SERVITUDES.,DCVII.,1
93,celse,,0100-01-01,0199-01-01,0100-01-01,0199-01-01,basnage,coutume,DE SUCCESSIONS EN PROPRE,CCLX. Fille reservée à succession doit rapporter.,1
94,celse,,0100-01-01,0199-01-01,0100-01-01,0199-01-01,basnage,coutume,TITRE DES EXECUTIONS. PAR DECRET,"CCCCCLXXVIII. Decret ne fait préjudice aux rentes foncieres et Seigneuriales, sinon pour les arrerages.",1
95,celse,,0100-01-01,0199-01-01,0100-01-01,0199-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",CHAPITRE DES FIEFS ET DROITS FEODAVX.,CXXIIII.,1
96,celse,,0100-01-01,0199-01-01,0100-01-01,0199-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",DE BRIEF DE MARIAGE ENCOMBRÉ.,V. C. XXXVIII.,1
97,celse,,0100-01-01,0199-01-01,0100-01-01,0199-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",DE PRESCRIPTIONS.,V. C. XXI.,1
98,celse,,0100-01-01,0199-01-01,0100-01-01,0199-01-01,berault,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY.",DE SVCCESSION EN PROPRE ET ANCIEN PATRIMOINE TANT EN ligne directe que collaterale.,CCXXXV.,1
99,celse,,0100-01-01,0199-01-01,0100-01-01,0199-01-01,terrien,"LIVRE QVATRIEME. QVI EST DES DROICTS ET DEMAIne du Roy, et de la chose publique.",Du thresor trouué. Chap. VII.,La Coustume.,1
100,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,basnage,coutume,DE DELIVRANCE DE NAMPS.,introduction,1
101,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,basnage,coutume,DE LOY APPAROISSANTE,introduction,2
102,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,basnage,coutume,DE SUCCESSIONS EN PROPRE,CCXLV. Distinction du paternel avec le maternel.,1
103,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,basnage,coutume,DE SUCCESSIONS EN PROPRE,CCXXXV. Temps et acte de l ’ adition d ’ heredité.,3
104,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,basnage,coutume,DES DONATIONS.,"CCCCXXXI. Quelles personnes peuvent donner entre vifs, quoy, et à qui.",1
105,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,basnage,coutume,DES FIEFS ET DROITS FEODAUX,CLXXXVI.,1
106,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,basnage,coutume,DES FIEFS ET DROITS FEODAUX,CXLII. Que peut demander celuy qui a fait don de son bien à l ’ Eglise.,2
107,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,basnage,coutume,DES FIEFS ET DROITS FEODAUX,CXLVIII. Droits d ’ Aubeine.,1
108,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,basnage,coutume,DES RETRAITS ET CLAMEUR DE BOURSE.,CCCCLI. Quatre sortes de retraits.,1
109,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,basnage,coutume,DU DOUAIRE.,CCCLXIX. Femme quand a doüaire sur les biens du pere et ayeul de son mary.,1
110,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,basnage,coutume,TITRE DE JURISDICTION.,XX. Jurisdiction de Hauts-Justiciers.,1
111,cicero,Cicéron (0106-0043 av. J.-C.),-0106-01-01,-0106-01-01,-0043-01-01,-0043-01-01,basnage,coutume,TITRE DE JURISDICTION.,XXIV. Jurisdiction des Bas-Justiciers.,1
