ID,Auteur,Naissance (min),Naissance (max),Mort (min),Mort (max),Témoin,size,Localisation,Thème
appo,Sidoine Apollinaire (0431?-0487? ; saint),431,431,487,487,1678 - Basnage,1,coutume > DES SUCCESSIONS COLLATERALES AUX MEUBLES ET ACQUESTS. > CCCXXIX. Quelle part la femme aprés la mort du mary prend aux conquests.,successions
apulee,Apulée (0125?-0180?),125,125,180,180,1678 - Basnage,1,coutume > DE HARO. > introduction,justice
apulee,Apulée (0125?-0180?),125,125,180,180,1678 - Basnage,1,coutume > DU DOUAIRE. > CCCLXIX. Femme quand a doüaire sur les biens du pere et ayeul de son mary.,douaire
apulee,Apulée (0125?-0180?),125,125,180,180,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DES EXECVTIONS PAR DECRET. > V. C. LIIII.",justice
arcadius,Arcadius (0377?-0408 ; empereur d'Orient),377,377,408,408,1678 - Basnage,4,coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
arcadius,Arcadius (0377?-0408 ; empereur d'Orient),377,377,408,408,1678 - Basnage,1,coutume > DES FIEFS ET DROITS FEODAUX > CCX. Nouvelle construction de pescherie et moulin.,société
arcadius,Arcadius (0377?-0408 ; empereur d'Orient),377,377,408,408,1678 - Basnage,1,coutume > DES FIEFS ET DROITS FEODAUX > introduction,société
arist,Aristote,-384,-384,-322,-322,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > CHAPITRE DE GARDES. > CCXXVII.",justice
arist,Aristote,-384,-384,-322,-322,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > CHAPITRE DES FIEFS ET DROITS FEODAVX. > CXXV.",société
arist,Aristote,-384,-384,-322,-322,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE DOVAIRE DE FEMMES, ET VEVFVAGE. des maris. > CCCLXXXII.",douaire
arist,Aristote,-384,-384,-322,-322,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE TESTAMENS. > CCCCXXII.",successions
arist,Aristote,-384,-384,-322,-322,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DES EXECVTIONS PAR DECRET. > introduction",justice
arist,Aristote,-384,-384,-322,-322,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > TITRE DE JURISDICTION. > XXXVIII.",justice
aristophane,Aristophane (0445?-0386? av. J.-C.),-445,-445,-386,-386,1678 - Basnage,1,coutume > DES TESTAMENS. > CCCCXIX.,successions
aristote,Aristote,-384,-384,-322,-322,1678 - Basnage,1,"coutume > DE BREF DE MARIAGE ENCOMBRÉ. > CCCCCXXXVIII. Contrats d ’ alienation du bien de la femme, quand sont vallables.",mariage
aristote,Aristote,-384,-384,-322,-322,1678 - Basnage,2,coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
aristote,Aristote,-384,-384,-322,-322,1678 - Basnage,1,"coutume > DES DONATIONS. > CCCCXXXI. Quelles personnes peuvent donner entre vifs, quoy, et à qui.",successions
aristote,Aristote,-384,-384,-322,-322,1678 - Basnage,1,coutume > DES FIEFS ET DROITS FEODAUX > CXLIX.,société
aristote,Aristote,-384,-384,-322,-322,1678 - Basnage,1,coutume > DES TESTAMENS. > introduction,successions
aristote,Aristote,-384,-384,-322,-322,1678 - Basnage,1,coutume > DU DOUAIRE. > CCCCVIII. Remplacement du propre quand est reputé conquests.,douaire
aristote,Aristote,-384,-384,-322,-322,1678 - Basnage,4,coutume > DU DOUAIRE. > CCCLXIX. Femme quand a doüaire sur les biens du pere et ayeul de son mary.,douaire
aristote,Aristote,-384,-384,-322,-322,1678 - Basnage,1,coutume > DU DOUAIRE. > CCCLXXXIX. Femme n ’ a communauté avec le mary.,douaire
aristote,Aristote,-384,-384,-322,-322,1678 - Basnage,1,coutume > TITRE DE JURISDICTION. > III.,justice
aristote,Aristote,-384,-384,-322,-322,1578 - Terrien,2,"LIVRE ONZIEME, QVI EST, D ’ APPELLATIONS ET DOleances en matieres ciuiles, à sortir deuant les Iuges suiets à la Cour. > Aucun titre. > François premier 1540.",justice
aristote,Aristote,-384,-384,-322,-322,1578 - Terrien,4,"LIVRE PREMIER QVI EST, DE LA IVSTICE ET DV droict des Normans. > De Droict et de Iustice. Chap. I. > La Coustume au chapitre De Justice.",société
aristote,Aristote,-384,-384,-322,-322,1578 - Terrien,2,"LIVRE SECOND. QVI EST, DV DROICT ET Estat des personnes. > Des Marchans. Chap. X. > Charles ix-tenant ses Estats à Orléans, l ’ an 1560.",société
artemidore,Artémidore d'Éphèse (01..-01..?),100,199,100,199,1678 - Basnage,1,coutume > TITRE DE JURISDICTION. > XIII.,justice
augustin,Augustin (0354-0430 ; saint),354,354,430,430,1678 - Basnage,1,coutume > DE BREF DE MARIAGE ENCOMBRÉ. > CCCCCXLI. Cas auquel elle ne peut avoir recompense.,mariage
augustin,Augustin (0354-0430 ; saint),354,354,430,430,1678 - Basnage,1,coutume > DE PARTAGE D ’ HERITAGE. > CCCLVII. Action des soeurs pour leur mariage contre leurs freres,successions
augustin,Augustin (0354-0430 ; saint),354,354,430,430,1678 - Basnage,9,coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
augustin,Augustin (0354-0430 ; saint),354,354,430,430,1678 - Basnage,1,coutume > DES FIEFS ET DROITS FEODAUX > CXLII. Que peut demander celuy qui a fait don de son bien à l ’ Eglise.,société
augustin,Augustin (0354-0430 ; saint),354,354,430,430,1678 - Basnage,1,coutume > DES FIEFS ET DROITS FEODAUX > introduction,société
augustin,Augustin (0354-0430 ; saint),354,354,430,430,1678 - Basnage,1,coutume > DU DOUAIRE. > CCCXCI. Meubles de la femme separée de biens à qui appartienent.,douaire
augustin,Augustin (0354-0430 ; saint),354,354,430,430,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > CHAPITRE DES FIEFS ET DROITS FEODAVX. > CLI.",société
augustin,Augustin (0354-0430 ; saint),354,354,430,430,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE SERVITVDES. > VI. C. XXI.",successions
augustin,Augustin (0354-0430 ; saint),354,354,430,430,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE SVCCESSION EN PROPRE ET ANCIEN PATRIMOINE TANT EN ligne directe que collaterale. > CCXLIX.",successions
augustin,Augustin (0354-0430 ; saint),354,354,430,430,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE TESTAMENS. > CCCCXXII.",successions
augustin,Augustin (0354-0430 ; saint),354,354,430,430,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DES SVCCESSIONS EN PROPRE AV BAILLIAGE DE CAVX ET AUTRES LIEVX OV LADITE COVTVME S ’ ESTEND EN LA VICOMTÉ DE ROVEN. > introduction",successions
augustin,Augustin (0354-0430 ; saint),354,354,430,430,1578 - Terrien,1,"LIVRE DOVZIEME, QVI EST, DES CRIMES ET PROcez criminels. > D ’ inquisition d ’ office de Iustice, ce du deuoir des Iuges. Chap. XXXI. > Au chapitre De forfaitures.",justice
augustin,Augustin (0354-0430 ; saint),354,354,430,430,1578 - Terrien,1,"LIVRE DOVZIEME, QVI EST, DES CRIMES ET PROcez criminels. > Des pronostiqueurs, cs diuinateurs, es oAegyptiens. Chap. X. > Charles ix-tenant ses Estats à Orléans 1560.",justice
augustin,Augustin (0354-0430 ; saint),354,354,430,430,1578 - Terrien,2,"LIVRE PREMIER QVI EST, DE LA IVSTICE ET DV droict des Normans. > De Droict et de Iustice. Chap. I. > La Coustume au premier chapitre.",société
augustin,Augustin (0354-0430 ; saint),354,354,430,430,1578 - Terrien,1,"LIVRE QVATRIEME. QVI EST DES DROICTS ET DEMAIne du Roy, et de la chose publique. > De faire et entretenir des puys an eau. Chap. XIIII. > François au Bailly de C. 1540.",société
aulus,Aulu-Gelle (0123?-0180?),123,123,180,180,1678 - Basnage,2,coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
aulus,Aulu-Gelle (0123?-0180?),123,123,180,180,1678 - Basnage,1,coutume > DES FIEFS ET DROITS FEODAUX > CCX. Nouvelle construction de pescherie et moulin.,société
aulus,Aulu-Gelle (0123?-0180?),123,123,180,180,1678 - Basnage,1,coutume > DU DOUAIRE. > CCCXCI. Meubles de la femme separée de biens à qui appartienent.,douaire
aulus,Aulu-Gelle (0123?-0180?),123,123,180,180,1678 - Basnage,2,coutume > DU DOUAIRE. > CCCXCV. Biens paraphernaux.,douaire
aulus,Aulu-Gelle (0123?-0180?),123,123,180,180,1614 - Bérault,1,<front> > AVANT-PROPOS AU LECTEUR > ,matière liminaire
aulus,Aulu-Gelle (0123?-0180?),123,123,180,180,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > CHAPITRE DES FIEFS ET DROITS FEODAVX. > CXXVI.",société
aulus,Aulu-Gelle (0123?-0180?),123,123,180,180,1578 - Terrien,2,"LIVRE DOVZIEME, QVI EST, DES CRIMES ET PROcez criminels. > De larcin. Chap. XX. > La Coustume au chapitre De Justice.",justice
aulus,Aulu-Gelle (0123?-0180?),123,123,180,180,1578 - Terrien,1,"LIVRE DOVZIEME, QVI EST, DES CRIMES ET PROcez criminels. > De simple querelle personnel, qui se fait pour bateries co mal-façons de corps. Chap. : XXVI. > La Coustume.",société
basile,Basile de Césarée (0329?-0379 ; saint),329,329,379,379,1678 - Basnage,1,coutume > DE PRESCRIPTIONS. > introduction,propriété
basile,Basile de Césarée (0329?-0379 ; saint),329,329,379,379,1678 - Basnage,3,coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
caesar,"César, Jules (0100-0044 av. J.-C.)",-100,-100,-44,-44,1678 - Basnage,1,coutume > DES FIEFS ET DROITS FEODAUX > CCXI. Tresor trouvé à qui appartient.,société
caesar,"César, Jules (0100-0044 av. J.-C.)",-100,-100,-44,-44,1678 - Basnage,1,coutume > DES FIEFS ET DROITS FEODAUX > CXLII. Que peut demander celuy qui a fait don de son bien à l ’ Eglise.,société
caesar,"César, Jules (0100-0044 av. J.-C.)",-100,-100,-44,-44,1678 - Basnage,1,coutume > DES SUCCESSIONS COLLATERALES AUX MEUBLES ET ACQUESTS. > CCCXXIX. Quelle part la femme aprés la mort du mary prend aux conquests.,successions
caesar,"César, Jules (0100-0044 av. J.-C.)",-100,-100,-44,-44,1678 - Basnage,1,coutume > TITRE DE JURISDICTION. > XIII.,justice
caesar,"César, Jules (0100-0044 av. J.-C.)",-100,-100,-44,-44,1678 - Basnage,1,coutume > TITRE DE JURISDICTION. > XXXI.,justice
caesar,"César, Jules (0100-0044 av. J.-C.)",-100,-100,-44,-44,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > CHAPITRE DE GARDES. > CCXXX.",justice
caesar,"César, Jules (0100-0044 av. J.-C.)",-100,-100,-44,-44,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE DOVAIRE DE FEMMES, ET VEVFVAGE. des maris. > introduction",douaire
caesar,"César, Jules (0100-0044 av. J.-C.)",-100,-100,-44,-44,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DES SVCCESSIONS EN PROPRE AV BAILLIAGE DE CAVX ET AUTRES LIEVX OV LADITE COVTVME S ’ ESTEND EN LA VICOMTÉ DE ROVEN. > CCLXXXV.",successions
caesar,"César, Jules (0100-0044 av. J.-C.)",-100,-100,-44,-44,1771 - Pesnelle,1,COUTUME DE NORMANDIE. > CHAPITRE VINGT-DEUXIEME. DES EXECUTIONS PAR DÉCRET. > introduction,justice
caesar,"César, Jules (0100-0044 av. J.-C.)",-100,-100,-44,-44,1578 - Terrien,1,"LIVRE NEVFIEME, QVI EST, DE L ’ ORDRE ET STYLE de proceder és Cours inferieures. Et premièrement és matieres ciuiles, et en première instance. > Des parties litigantes, cs de ceux qui ne sont personnes legitimes. d ’ eter en iugement. Chap. V > La coustume au chapitre De tesmoins.",société
caesar,"César, Jules (0100-0044 av. J.-C.)",-100,-100,-44,-44,1578 - Terrien,1,LIVRE TROISIESME QVI EST DES MAGISTRATS ET officiers ordinaires de la Iustice. > Du Roy duc de Normandie. Chap. 1. > La Coustume au chapitre du Duc.,société
cassiod,Cassiodore (0490?-0580?),490,490,580,580,1678 - Basnage,1,coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
cassiod,Cassiodore (0490?-0580?),490,490,580,580,1678 - Basnage,1,coutume > DU DOUAIRE. > CCCLXXVII.,douaire
cassiod,Cassiodore (0490?-0580?),490,490,580,580,1614 - Bérault,1,<front> > AVANT-PROPOS AU LECTEUR > ,matière liminaire
cassiod,Cassiodore (0490?-0580?),490,490,580,580,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > CHAPITRE DE GARDES. > CCXXIII.",justice
cassiod,Cassiodore (0490?-0580?),490,490,580,580,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > CHAPITRE DES FIEFS ET DROITS FEODAVX. > CCXL.",société
cassiod,Cassiodore (0490?-0580?),490,490,580,580,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > CHAPITRE DES FIEFS ET DROITS FEODAVX. > CXXV.",société
cassiod,Cassiodore (0490?-0580?),490,490,580,580,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DES EXECVTIONS PAR DECRET. > V. C. XLVII.",justice
cassiod,Cassiodore (0490?-0580?),490,490,580,580,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > TITRE DE JURISDICTION. > XXIIII.",justice
cassiod,Cassiodore (0490?-0580?),490,490,580,580,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > TITRE DE JURISDICTION. > XXVII.",justice
cassiod,Cassiodore (0490?-0580?),490,490,580,580,1771 - Pesnelle,1,COUTUME DE NORMANDIE. > CHAPITRE NEUVIEME. DES FIEFS ET DROITS FEODAUX. > CCXII.,société
cassius,cassius,155,155,235,235,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > CHAPITRE DES FIEFS ET DROITS FEODAVX. > CLV.",société
cassius,cassius,155,155,235,235,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > CHAPITRE DES FIEFS ET DROITS FEODAVX. > CXV.",société
cassius,cassius,155,155,235,235,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > CHAPITRE DES FIEFS ET DROITS FEODAVX. > CXVI.",société
cassius,cassius,155,155,235,235,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > TITRE DE JURISDICTION. > XXXVI.",justice
caton,"Cato, Valerius (0090-0001 av. J.C.)",-90,-90,-1,-1,1678 - Basnage,2,coutume > DU DOUAIRE. > CCCXCV. Biens paraphernaux.,douaire
caton,"Cato, Valerius (0090-0001 av. J.C.)",-90,-90,-1,-1,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE SVCCESSION EN PROPRE ET ANCIEN PATRIMOINE TANT EN ligne directe que collaterale. > CCXLIX.",successions
catulle,Catulle (0087?-0052? av. J.-C.),-87,-87,-52,-52,1678 - Basnage,1,coutume > DU DOUAIRE. > CCCLXIX. Femme quand a doüaire sur les biens du pere et ayeul de son mary.,douaire
catulle,Catulle (0087?-0052? av. J.-C.),-87,-87,-52,-52,1678 - Basnage,1,coutume > DU DOUAIRE. > CCCLXXXVII.,douaire
celse,celse,100,199,100,199,1678 - Basnage,1,coutume > DE SERVITUDES. > DCVII.,successions
celse,celse,100,199,100,199,1678 - Basnage,1,coutume > DE SUCCESSIONS EN PROPRE > CCLX. Fille reservée à succession doit rapporter.,successions
celse,celse,100,199,100,199,1678 - Basnage,1,"coutume > TITRE DES EXECUTIONS. PAR DECRET > CCCCCLXXVIII. Decret ne fait préjudice aux rentes foncieres et Seigneuriales, sinon pour les arrerages.",société
celse,celse,100,199,100,199,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > CHAPITRE DES FIEFS ET DROITS FEODAVX. > CXXIIII.",société
celse,celse,100,199,100,199,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE BRIEF DE MARIAGE ENCOMBRÉ. > V. C. XXXVIII.",mariage
celse,celse,100,199,100,199,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE PRESCRIPTIONS. > V. C. XXI.",propriété
celse,celse,100,199,100,199,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE SVCCESSION EN PROPRE ET ANCIEN PATRIMOINE TANT EN ligne directe que collaterale. > CCXXXV.",successions
celse,celse,100,199,100,199,1578 - Terrien,1,"LIVRE QVATRIEME. QVI EST DES DROICTS ET DEMAIne du Roy, et de la chose publique. > Du thresor trouué. Chap. VII. > La Coustume.",société
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1678 - Basnage,1,coutume > DE DELIVRANCE DE NAMPS. > introduction,propriété
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1678 - Basnage,2,coutume > DE LOY APPAROISSANTE > introduction,société
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1678 - Basnage,1,coutume > DE SUCCESSIONS EN PROPRE > CCXLV. Distinction du paternel avec le maternel.,successions
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1678 - Basnage,3,coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1678 - Basnage,1,"coutume > DES DONATIONS. > CCCCXXXI. Quelles personnes peuvent donner entre vifs, quoy, et à qui.",successions
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1678 - Basnage,1,coutume > DES FIEFS ET DROITS FEODAUX > CLXXXVI.,société
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1678 - Basnage,2,coutume > DES FIEFS ET DROITS FEODAUX > CXLII. Que peut demander celuy qui a fait don de son bien à l ’ Eglise.,société
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1678 - Basnage,1,coutume > DES FIEFS ET DROITS FEODAUX > CXLVIII. Droits d ’ Aubeine.,société
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1678 - Basnage,1,coutume > DES RETRAITS ET CLAMEUR DE BOURSE. > CCCCLI. Quatre sortes de retraits.,propriété
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1678 - Basnage,1,coutume > DU DOUAIRE. > CCCLXIX. Femme quand a doüaire sur les biens du pere et ayeul de son mary.,douaire
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1678 - Basnage,1,coutume > TITRE DE JURISDICTION. > XX. Jurisdiction de Hauts-Justiciers.,justice
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1678 - Basnage,1,coutume > TITRE DE JURISDICTION. > XXIV. Jurisdiction des Bas-Justiciers.,justice
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1678 - Basnage,2,coutume > TITRE DE JURISDICTION. > introduction,justice
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1614 - Bérault,1,<front> > AVANT-PROPOS AU LECTEUR > ,matière liminaire
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE BRIEF DE MARIAGE ENCOMBRÉ. > V. C. XLIII.",mariage
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE DONATIONS. > CCCCXLIX.",successions
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE PRESCRIPTIONS. > introduction",propriété
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE SERVITVDES. > VI. C. XXII.",successions
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE SVCCESSION EN PROPRE ET ANCIEN PATRIMOINE TANT EN ligne directe que collaterale. > introduction",successions
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1614 - Bérault,2,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DES EXECVTIONS PAR DECRET. > V. C XLVI.",justice
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DES EXECVTIONS PAR DECRET. > V. C. LIX.",justice
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DES EXECVTIONS PAR DECRET. > V. C. XLIX.",justice
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DES EXECVTIONS PAR DECRET. > introduction",justice
cicero,Cicéron (0106-0043 av. J.-C.),-106,-106,-43,-43,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > TITRE DE JURISDICTION. > III.",justice
