couple,localisation,theme
Plaute (0254-0184 av. J.-C.) - Anastase I (0431?-0518 ; empereur d'Orient),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Plaute (0254-0184 av. J.-C.) - Justinien Ier (0482-0565 ; empereur de Byzance),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Plaute (0254-0184 av. J.-C.) - Cassiodore (0490?-0580?),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Plaute (0254-0184 av. J.-C.) - Théophile Antecessor (05..-05..),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Plaute (0254-0184 av. J.-C.) - greg-3,coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Plaute (0254-0184 av. J.-C.) - Grégoire I (0540?-0604 ; pape),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Plaute (0254-0184 av. J.-C.) - Isidore de Séville (0560?-0636 ; saint),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Cicéron (0106-0043 av. J.-C.) - Homère (08..?-08..? av. J.-C.),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Cicéron (0106-0043 av. J.-C.) - Aristote (0384-0322 av. J.-C.),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Cicéron (0106-0043 av. J.-C.) - Plaute (0254-0184 av. J.-C.),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Cicéron (0106-0043 av. J.-C.) - Martial (0040?-0104?),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Cicéron (0106-0043 av. J.-C.) - Hippocrate (0460-0377 av. J.-C. ; médecin),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Cicéron (0106-0043 av. J.-C.) - Plutarque (0046?-0120?),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Cicéron (0106-0043 av. J.-C.) - Suétone (0069?-0126?),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Cicéron (0106-0043 av. J.-C.) - Aulu-Gelle (0123?-0180?),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Cicéron (0106-0043 av. J.-C.) - papinien,coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Cicéron (0106-0043 av. J.-C.) - Clément d'Alexandrie (0150?-021.?),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Cicéron (0106-0043 av. J.-C.) - Ulpien (0160-0228),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Cicéron (0106-0043 av. J.-C.) - Hermogenianus (02..-03..),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
"Cicéron (0106-0043 av. J.-C.) - Modestinus, Herennius",coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Cicéron (0106-0043 av. J.-C.) - Dioclétien (0245-0313 ; empereur romain),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Cicéron (0106-0043 av. J.-C.) - maximien,coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
"Cicéron (0106-0043 av. J.-C.) - Firmicus Maternus, Julius",coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Cicéron (0106-0043 av. J.-C.) - Basile de Césarée (0329?-0379 ; saint),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
"Cicéron (0106-0043 av. J.-C.) - Vossius, Gerardus Joannes (1577-1649)",coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Cicéron (0106-0043 av. J.-C.) - Ambroise (0340?-0397 ; saint),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Cicéron (0106-0043 av. J.-C.) - Augustin (0354-0430 ; saint),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Cicéron (0106-0043 av. J.-C.) - Arcadius (0377?-0408 ; empereur d'Orient),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Cicéron (0106-0043 av. J.-C.) - Honorius (0384-0423 ; empereur romain),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Cicéron (0106-0043 av. J.-C.) - Léon I (039.?-0461 ; pape),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Cicéron (0106-0043 av. J.-C.) - Anastase I (0431?-0518 ; empereur d'Orient),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Cicéron (0106-0043 av. J.-C.) - Justinien Ier (0482-0565 ; empereur de Byzance),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Cicéron (0106-0043 av. J.-C.) - Cassiodore (0490?-0580?),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Cicéron (0106-0043 av. J.-C.) - Théophile Antecessor (05..-05..),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Cicéron (0106-0043 av. J.-C.) - greg-3,coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Cicéron (0106-0043 av. J.-C.) - Grégoire I (0540?-0604 ; pape),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Cicéron (0106-0043 av. J.-C.) - Isidore de Séville (0560?-0636 ; saint),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Martial (0040?-0104?) - Homère (08..?-08..? av. J.-C.),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Martial (0040?-0104?) - Aristote (0384-0322 av. J.-C.),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Martial (0040?-0104?) - Plaute (0254-0184 av. J.-C.),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Martial (0040?-0104?) - Cicéron (0106-0043 av. J.-C.),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Martial (0040?-0104?) - Hippocrate (0460-0377 av. J.-C. ; médecin),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Martial (0040?-0104?) - Plutarque (0046?-0120?),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Martial (0040?-0104?) - Suétone (0069?-0126?),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Martial (0040?-0104?) - Aulu-Gelle (0123?-0180?),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Martial (0040?-0104?) - papinien,coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Martial (0040?-0104?) - Clément d'Alexandrie (0150?-021.?),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Martial (0040?-0104?) - Ulpien (0160-0228),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Martial (0040?-0104?) - Hermogenianus (02..-03..),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
"Martial (0040?-0104?) - Modestinus, Herennius",coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Martial (0040?-0104?) - Dioclétien (0245-0313 ; empereur romain),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Martial (0040?-0104?) - maximien,coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
"Martial (0040?-0104?) - Firmicus Maternus, Julius",coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Martial (0040?-0104?) - Basile de Césarée (0329?-0379 ; saint),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
"Martial (0040?-0104?) - Vossius, Gerardus Joannes (1577-1649)",coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Martial (0040?-0104?) - Ambroise (0340?-0397 ; saint),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Martial (0040?-0104?) - Augustin (0354-0430 ; saint),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Martial (0040?-0104?) - Arcadius (0377?-0408 ; empereur d'Orient),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Martial (0040?-0104?) - Honorius (0384-0423 ; empereur romain),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Martial (0040?-0104?) - Léon I (039.?-0461 ; pape),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Martial (0040?-0104?) - Anastase I (0431?-0518 ; empereur d'Orient),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Martial (0040?-0104?) - Justinien Ier (0482-0565 ; empereur de Byzance),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Martial (0040?-0104?) - Cassiodore (0490?-0580?),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Martial (0040?-0104?) - Théophile Antecessor (05..-05..),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Martial (0040?-0104?) - greg-3,coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
Martial (0040?-0104?) - Grégoire I (0540?-0604 ; pape),coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
